product_id,brand,name,major_category,middle_category,price,sizes,max_size,body_concerns,tpo,fit,material,color,same_day,badge,rank_score,description
P001,MISHARP,실키 쾌적 베이직 니트,상의,니트,39800,55|66|77,77,뱃살커버|팔뚝커버,출근|데일리,여유,레이온,아이보리|블랙,True,BEST,98,여유 있는 드롭숄더와 부드러운 소재가 상체선을 편안하게 정리해 출근용으로 활용하기 좋습니다.
P002,MISHARP,라인커버 브이넥 니트,상의,니트,42000,55|66|77,77,뱃살커버,출근|모임,스탠다드,니트,네이비|베이지,True,77,94,브이넥과 자연스러운 길이감이 상체를 길고 슬림하게 보여주며 아랫배를 부담 없이 덮습니다.
P003,LUMIERE,소프트 드롭숄더 니트,상의,니트,45900,55|66|77|88,88,팔뚝커버|뱃살커버,데일리|여행,루즈,레이온,핑크|그레이,False,NEW,89,넉넉한 드롭숄더와 유연한 소재로 팔뚝과 복부를 자연스럽게 커버합니다.
P004,MONODAY,데일리 7부 골지 니트,상의,니트,36900,55|66|77,77,팔뚝커버,출근|데일리,스탠다드,니트,블랙|아이보리,True,MD,91,7부 소매가 팔 라인을 정돈하고 골지 결이 상체를 길어 보이게 합니다.
P005,ATELIER N,프렌치 셔링 블라우스,상의,블라우스,49800,55|66|77,77,팔뚝커버|뱃살커버,모임|출근,여유,폴리에스터,아이보리|브라운,True,BEST,96,잔잔한 셔링과 여유 있는 품으로 단정하면서 체형 부담을 줄여주는 블라우스입니다.
P006,MISHARP,사계절 에센셜 히든 블라우스,상의,블라우스,43900,55|66|77,77,뱃살커버|옆구리커버,출근|모임,여유,폴리에스터,화이트|블랙,True,BEST,97,히든 플래킷과 차르르한 소재가 몸의 윤곽을 드러내지 않아 오피스룩에 적합합니다.
P007,MORE FIT,팔뚝커버 브이 블라우스,상의,블라우스,39900,66|77|88,88,팔뚝커버|뱃살커버,출근|데일리,루즈,레이온,네이비|아이보리,True,77,93,사선 소매와 여유 있는 품으로 팔뚝과 복부를 편안하게 가립니다.
P008,LUMIERE,잔체크 소프트 셔츠,상의,셔츠,41900,55|66|77,77,팔뚝커버,데일리|여행,여유,면,브라운|네이비,False,NEW,86,잔잔한 체크와 부드러운 면 소재로 가볍게 걸치기 좋은 간절기 셔츠입니다.
P009,MISHARP,미니카라 데님 셔츠 자켓,상의,셔츠,52900,55|66|77,77,팔뚝커버|힙커버,데일리|여행,루즈,데님,블루,True,MD,95,셔츠와 가벼운 아우터 두 가지로 활용할 수 있고 힙을 살짝 덮는 길이입니다.
P010,DAILY NOTE,소프트 베이직 긴팔 티셔츠,상의,티셔츠,24900,55|66|77,77,팔뚝커버,데일리|출근,여유,면,화이트|블랙|그레이,True,BEST,90,단독과 이너 모두 활용하기 쉬운 베이직 티셔츠입니다.
